iter	Passed	Remaining
0	153	153383
1	155	77537
2	157	52238
3	159	39638
4	161	32115
5	163	27082
6	165	23456
7	167	20721
8	168	18592
9	170	16901
10	172	15517
11	175	14428
12	177	13465
13	179	12618
14	180	11877
15	182	11238
16	184	10669
17	186	10177
18	189	9758
19	191	9360
20	192	8994
21	194	8659
22	196	8347
23	198	8061
24	200	7807
25	202	7583
26	204	7371
27	206	7168
28	208	6976
29	210	6797
30	212	6633
31	214	6477
32	216	6329
33	218	6203
34	220	6074
35	222	5950
36	224	5830
37	226	5722
38	227	5614
39	229	5509
40	232	5436
41	234	5344
42	236	5252
43	237	5165
44	239	5081
45	241	5006
46	243	4933
47	245	4877
48	248	4817
49	250	4751
50	251	4687
51	253	4623
52	255	4562
53	257	4504
54	259	4451
55	261	4408
56	263	4358
57	265	4309
58	267	4265
59	269	4219
60	271	4172
61	272	4128
62	275	4093
63	277	4052
64	279	4014
65	280	3975
66	282	3939
67	284	3901
68	286	3864
69	288	3829
70	291	3807
71	293	3777
72	294	3743
73	296	3710
74	298	3679
75	300	3650
76	302	3621
77	303	3593
78	306	3570
79	308	3545
80	309	3516
81	311	3490
82	312	3456
83	314	3430
84	316	3404
85	318	3382
86	320	3364
87	322	3346
88	324	3326
89	327	3306
90	329	3286
91	330	3265
92	333	3248
93	335	3232
94	337	3213
95	339	3193
96	340	3173
97	342	3153
98	344	3134
99	346	3116
100	348	3101
101	350	3085
102	352	3070
103	354	3055
104	356	3037
105	358	3021
106	360	3006
107	361	2988
108	364	2979
109	366	2968
110	368	2954
111	370	2938
112	372	2923
113	374	2908
114	375	2892
115	378	2880
116	379	2867
117	382	2855
118	383	2841
119	385	2828
120	387	2816
121	389	2799
122	390	2786
123	392	2774
124	395	2767
125	397	2756
126	398	2741
127	400	2730
128	402	2719
129	404	2709
130	406	2697
131	409	2691
132	411	2683
133	413	2672
134	415	2661
135	417	2650
136	418	2638
137	420	2627
138	423	2622
139	425	2614
140	427	2604
141	428	2590
142	430	2581
143	432	2569
144	434	2560
145	435	2550
146	438	2542
147	440	2533
148	441	2523
149	443	2513
150	445	2504
151	447	2495
152	448	2485
153	450	2475
154	452	2468
155	454	2460
156	456	2452
157	458	2443
158	460	2435
159	462	2427
160	463	2416
161	465	2408
162	468	2405
163	470	2398
164	472	2390
165	474	2383
166	476	2375
167	477	2366
168	479	2357
169	481	2351
170	483	2345
171	485	2338
172	487	2330
173	489	2323
174	491	2315
175	492	2307
176	494	2299
177	496	2293
178	498	2288
179	500	2282
180	502	2274
181	504	2267
182	506	2259
183	507	2252
184	509	2245
185	511	2239
186	513	2233
187	515	2226
188	517	2219
189	519	2213
190	521	2207
191	522	2200
192	524	2195
193	527	2190
194	529	2185
195	531	2179
196	533	2172
197	534	2166
198	536	2160
199	538	2154
200	540	2147
201	543	2146
202	545	2140
203	546	2134
204	549	2129
205	550	2123
206	552	2117
207	554	2111
208	556	2107
209	561	2110
210	563	2106
211	565	2100
212	567	2096
213	569	2090
214	571	2085
215	574	2085
216	576	2080
217	578	2074
218	581	2072
219	583	2067
220	585	2063
221	588	2061
222	590	2058
223	592	2053
224	594	2048
225	596	2042
226	598	2038
227	602	2038
228	604	2034
229	606	2030
230	608	2025
231	610	2021
232	612	2016
233	614	2012
234	622	2027
235	624	2022
236	626	2017
237	628	2011
238	630	2008
239	633	2005
240	636	2003
241	638	1998
242	639	1993
243	642	1989
244	643	1984
245	646	1980
246	649	1978
247	651	1974
248	652	1969
249	655	1965
250	657	1960
251	658	1955
252	661	1953
253	664	1950
254	666	1946
255	668	1941
256	670	1937
257	671	1932
258	673	1928
259	676	1925
260	679	1925
261	681	1921
262	683	1916
263	686	1913
264	688	1908
265	691	1909
266	694	1905
267	695	1900
268	698	1896
269	699	1892
270	701	1887
271	703	1882
272	706	1881
273	708	1878
274	711	1875
275	713	1871
276	715	1867
277	718	1864
278	720	1860
279	722	1858
280	725	1855
281	727	1851
282	728	1846
283	731	1843
284	733	1839
285	736	1838
286	738	1835
287	740	1831
288	743	1827
289	744	1823
290	746	1819
291	749	1817
292	752	1815
293	754	1811
294	756	1808
295	758	1804
296	760	1800
297	762	1796
298	765	1794
299	767	1791
300	769	1787
301	771	1783
302	774	1780
303	776	1776
